pid,averageWattConsumption,maxWattConsumtion,maxWattPositionIndex,totalProcessIstantFound,totalTime,joules
17519,11.55760345054945,15.214539,9,91,10.632399082183838,122.88505231986673
17790,11.222310387096774,14.637276,8,93,11.064523696899414,124.1695192119927
18103,11.401779989247311,14.335608,2,93,10.855242490768433,123.76908660967065
18265,11.31996552688172,14.403383,12,93,10.776228904724121,121.9865397112634
18430,11.172557226804123,14.363855,6,97,11.594267845153809,129.53762100287585
18592,11.430302645161289,14.1568,7,93,10.862133741378784,124.1574760361776
18748,11.420768734042554,14.825496,7,94,11.006611824035645,125.70396818768937
18911,11.542536022222222,14.570886,5,90,10.62948727607727,122.69123978187466
19071,11.403869391304347,16.37402,7,92,10.701439380645752,122.03781699584505
19233,11.158758978021977,15.141647,10,91,10.784727096557617,120.3441703142292
19405,11.402420356321839,15.105724,10,87,10.251101016998291,116.88736291093282
19571,11.411326137931034,15.400332,16,87,10.20289421081543,116.42855339042335
19720,11.380662822222222,15.07198,8,90,10.552996635437012,120.10009647195419
19889,11.286404955555556,15.717716,7,90,10.706374645233154,120.83647985199383
20220,11.15106289010989,14.796921,15,91,10.976128578186035,122.39550006528492
20388,11.194798033707865,14.961929,20,89,10.679818630218506,119.55841260192676
20552,11.286714816091955,14.986545,11,87,10.3888521194458,117.25601113873722
20715,11.463350821428572,15.649403,7,84,10.052406311035156,115.23426014293861
20876,11.214387294117646,15.02209,8,85,10.295762538909912,115.46066859960375
21040,11.431546229885056,15.373304,8,87,10.241780042648315,117.07938203384836
