pid,consumption/0,consumption/1,consumption/2,consumption/3,consumption/4,consumption/5,consumption/6,consumption/7,consumption/8,consumption/9,consumption/10,consumption/11,consumption/12,consumption/13,consumption/14,consumption/15,consumption/16,consumption/17,consumption/18,consumption/19,consumption/20,consumption/21,consumption/22,consumption/23,consumption/24,consumption/25,consumption/26,consumption/27,consumption/28,consumption/29,consumption/30,consumption/31,consumption/32,consumption/33,consumption/34,consumption/35,consumption/36,consumption/37,consumption/38,consumption/39,consumption/40,consumption/41,consumption/42,consumption/43,consumption/44,consumption/45,consumption/46,consumption/47,consumption/48,consumption/49,consumption/50,consumption/51,consumption/52,consumption/53,consumption/54,consumption/55,consumption/56,consumption/57,consumption/58,consumption/59,consumption/60,consumption/61,consumption/62,consumption/63,consumption/64,consumption/65,consumption/66,consumption/67,consumption/68,consumption/69,consumption/70,consumption/71,consumption/72,consumption/73,consumption/74,consumption/75,consumption/76,consumption/77,consumption/78,consumption/79,consumption/80,consumption/81,consumption/82,consumption/83,consumption/84,consumption/85,consumption/86,consumption/87,consumption/88,consumption/89,consumption/90,consumption/91,consumption/92,consumption/93,consumption/94,consumption/95,consumption/96
17519,11692201,13308400,12879679,12198009,12536509,14399360,13250480,14051183,12936384,15214539,12755060,12069164,14151469,13796283,13433081,12615574,13699749,13246675,13483651,13167563,12460232,12705709,13567275,13147175,11924204,13265898,14242019,12425614,10794519,10012658,12892478,11512580,12329880,10824524,10133270,11058270,10270066,11759360,9991622,10503155,10946313,10706291,9853613,9744646,10931177,11386230,9094399,10960944,10175491,11827200,10027198,10868204,11814181,10990791,9357618,11828231,12408204,9883979,10010689,10220987,11607930,10958202,10902501,9898055,11310527,10897626,11057434,12675859,10932526,10222744,10311184,11042964,10122269,11629968,10563389,10095731,10216673,11824462,10099255,10917729,10995969,11958990,10871990,10118618,11721559,10235531,10968816,10930756,11838108,10934850,10137792,,,,,,
17790,10687419,11669489,13293090,12596527,12143590,10921804,13480695,13373886,14637276,13280627,13468014,12801564,13425698,13006859,13659576,11854976,14014784,12534888,13839704,13501164,12958172,12083988,13537226,13536717,12986632,12792817,13490010,13117883,13461623,14158255,10368775,11774154,9918285,10868023,10251019,12260576,11209774,11238761,10945170,10768476,9505015,10782677,9717280,10791121,12013030,8779172,10232259,10427806,9819078,9831877,9768239,10497850,10598917,10022142,11607271,9913327,10598922,9829053,10752497,11498609,9151160,10764136,11435482,9240531,10685283,10410517,10439934,10056850,9128602,9266065,10815310,11393941,10002405,9263874,11412190,9916089,9266518,10822644,10030269,9922918,10454015,9924478,9945139,9933044,10997155,9931515,9931517,10874591,9852154,9846276,11702650,10738113,9215393,,,,
18103,11344054,12466617,14335608,12356131,13026021,13388425,12821428,12464276,12279692,12139942,14230127,12870759,12621666,13366937,12459277,13992532,13205728,12912279,12898926,13373088,12262186,12994872,14000034,13561669,12511260,14112288,13132011,12957962,11208077,10345708,10624873,12562721,12786514,11497499,10425945,11004377,9983401,11135827,9861924,9876602,9593123,9917302,10979278,10591082,9645380,10007933,10530051,10663186,9450180,9890476,10000684,10215246,9887562,10471746,10809611,10827061,11583799,9950564,10625774,11737909,10837791,11407485,9969506,10948699,10207406,11063059,10843625,11221015,12024207,10037215,11630464,9940306,11858344,10661875,10117943,11829750,11559436,10852439,10908890,11547271,9860582,9783563,10773850,11532223,9909353,10702649,10273221,11581910,9173121,11611145,10589057,10773886,11557043,,,,
18265,11723496,13433343,12470448,12807489,12148132,12667917,13497727,13476029,12225295,12100122,13449304,12440635,14403383,12937629,12946841,13862262,12940071,13504367,13444424,12434537,12404164,14140143,12859123,13623126,13132814,11986998,11233066,10513928,9946488,12070464,10726259,12101896,12505653,11714829,11649997,10605145,10130265,11886619,9962229,10262635,10479164,10434311,10884649,11331713,10232544,10802421,9064885,9907363,9845544,9960397,10549442,9291615,10557583,10731826,9220275,10423322,9796805,10600525,11408157,10936073,10769341,10375869,9791558,11660204,11488413,9491948,10706269,12159482,9581894,10019679,9948484,12964859,9885027,10786182,10848347,9904258,11682833,11495515,10792876,10715655,9943165,11600920,10797546,9794102,11013813,10699014,10784601,11426255,9882590,11659611,9187924,11463405,10607249,,,,
18430,10501305,12741630,13451763,13133432,12478605,14173745,14363855,13421094,13276819,13441307,12687918,13868891,12918907,12983893,13759843,13450555,13000221,12496946,13452827,12836794,13065568,13492567,13964391,12976110,13046104,12302816,13056118,13792516,13652531,10315462,8608930,9782886,12722185,10789337,9907106,11006111,9249673,9719521,9979618,9582344,9687534,10799030,9460827,9659433,10558215,9556998,9568023,10790060,10846229,9999737,9883195,10625334,10906491,11860292,10735329,9750541,11411370,9826088,11289451,11608340,9838463,10150502,10665129,10661769,11374655,9756228,9844380,11651026,10801110,10670042,10973884,10589471,11420578,10281665,9213966,9967291,10736752,9957710,10002327,10330282,9966051,9890536,10822224,9900031,9969943,9997425,10196336,10794119,9219079,11481207,9865355,8725430,11505113,9363324,10711163,10286787,9881937
18592,9979408,12775114,13316720,13624014,11172735,13343629,12962973,14156800,13418786,12927613,13342757,13858075,13569878,13421695,12797984,12964659,14113609,12985095,12955666,13515752,12995220,13693828,13538887,12478919,13564733,14051434,13734248,12644159,11623747,10795282,9967303,11328382,10123716,10007404,13331726,9752028,12559523,10079793,11132357,12135996,9321750,11261236,10177517,12133668,9167963,11742045,10438697,10876968,10773244,10885451,10022605,10006297,12364380,10137491,10851048,10849227,11824717,9228355,11619444,10941393,10014787,11115771,10752258,9295432,11749930,9807018,9793483,10142367,9772603,10731472,9957076,13113096,9852491,10677657,10002311,10798100,10677483,10753847,10282364,10752491,10674632,10976253,10690241,10748778,9851148,10994049,10670324,10741166,10992678,9853929,10752991,9983418,10681359,,,,
18748,11421704,11383238,12474201,13302990,11695139,14156105,12949638,14825496,13043576,13916122,12042807,13865360,12495274,13529133,12887970,14029628,12590906,13989997,13072525,13465588,13513233,13240741,12985370,13073102,13005393,14180104,13602887,13690917,13195700,11867728,10602104,11809502,10556793,12401834,10334896,10746254,10872433,10250285,10752065,9687057,10935799,11285770,10929237,10276792,10713119,10558845,9842754,11623781,9319903,10655262,10529123,10651291,9996021,10600592,10639136,10594391,11525624,9946074,10701581,10802588,9837721,11332642,9833635,11621508,11160074,9408285,9852547,10598475,11236279,9746263,11206952,8519290,10412891,10617674,9980915,10122000,11639776,10130272,9990925,13111502,9058258,11812042,10007720,11738483,10014613,10015498,11002101,10905600,10012746,11822253,10410517,10916550,10084996,11757780,,,
18911,11819196,12743657,12776885,12790502,13087669,14570886,13417133,13577518,13506259,12837468,12123440,14097920,12829048,12864440,13569821,13603125,13017714,13462192,13704524,13212334,13574314,13193079,13119615,13581288,12528552,9166676,10307487,12505874,9791653,12544257,13357013,13304741,12963156,14026203,10192755,10484701,9995501,11132117,10723605,10437474,10818825,9719474,11524649,9909196,12150890,10799599,10794533,10891474,10076284,11692239,11005159,10966732,9064894,11005230,11025423,11929794,10098351,11785223,10085996,11912305,11086933,11082599,10073676,11754076,6985608,11165600,11794879,11040838,10737459,11227193,10960408,11041632,10973422,10860392,9943764,11766053,10832530,9949319,12411628,10083462,10024947,11036161,10858427,9232557,11123889,10788106,10855905,10112496,11289194,9937027,,,,,,,
19071,11813645,12225770,10811538,13832021,12801690,13479855,14279780,16374020,13704989,15118419,14291659,14267670,13792008,14569957,14656360,14270711,14447923,13662267,14488528,11466670,13716856,14813569,10779334,12780930,12718206,12263365,12330856,9303180,11129922,10242105,10287175,10556044,9295798,11983293,9296760,10889067,11216352,9688046,10743362,9816754,11814032,11197776,10840174,10508066,10833260,12124038,9996333,10921236,10671805,10022220,12242060,9858409,10930981,11451224,10932882,10031656,11525986,10925487,10871136,10319018,9794176,9937328,9597724,9331218,9927969,11052730,9768806,10508780,8581318,11361558,9305402,10679503,11030483,10686474,9984024,10883665,10753877,10587096,9995455,11572065,10780288,9851629,11647425,9862047,10764885,11006409,9869069,11652909,9865531,11665367,10774461,9852080,,,,,
19233,10469839,13782371,12462326,13976132,11519417,11353450,14191770,12053374,14614443,14293517,15141647,14227140,13446755,14913954,14013141,14765113,14149223,14945246,13849469,13753758,11374047,13695632,13479546,9458546,12350022,9860434,9912746,11125582,8798767,10825831,10132849,9633505,10428177,11805577,9443169,11819334,9894523,9895274,11216269,9915715,11163880,9960765,9691524,11452315,9907507,10603860,10739714,10832722,10336418,9344095,10223137,9919921,9337714,11208065,9945538,10731264,9423095,10217923,10038154,10020560,11515814,9815610,10733323,10171330,11802030,9916402,11552149,11183667,9924381,10748095,10826590,10298506,8383740,10879782,9937996,11880910,9292826,9303396,10803069,10573029,9320001,9332485,11248916,10022242,10181497,9347017,10953360,10081330,9945447,10844491,12541835,,,,,,
19405,11283404,12765712,13161977,13798939,12254487,13973945,12683715,13326607,14881641,13897747,15105724,13792495,14676589,14235670,14882238,14997574,14207117,14230186,10927678,13828760,14338366,12891393,12587615,13592580,14286041,10588473,10342268,8799227,10187790,10140852,8748292,10230237,9425509,9975706,10270069,10054027,10486228,9493775,11239085,9883248,11014338,9123073,12803104,9907980,11300245,9716911,10785418,11394543,10034420,12108173,10647617,9848450,10023238,10548963,9910934,11693784,10170325,9905659,10812974,10219927,11950298,9998690,12179005,10738882,10058358,10310829,11720183,9917007,10039359,10896231,10822770,9918136,12317305,10744408,10047922,10884717,10700638,9357368,9946274,12220174,9208746,11817739,11718675,9216025,11722289,10594496,10520985,,,,,,,,,,
19571,10685319,13144304,13248779,12123765,14277560,12082327,14105196,14356476,14759150,13631693,14474508,14076635,14798387,14798817,14170532,13245399,15400332,13197405,9513931,13370592,13815542,13405767,13624835,13602851,14243352,10437767,10227097,9992450,9626108,10712045,10387512,9396868,10856289,10079978,9276189,10475448,9807416,10417002,11679097,9801673,10704530,10509368,10673532,10703199,9840213,10722706,11451343,9170811,10786146,11489779,10725977,10881748,10601617,10800755,10727173,10805947,9191242,12360817,9900408,10863444,11572769,11183210,10022792,10310658,9307838,10822019,9918616,11640719,10746906,10125652,10955619,10834655,9904122,10801061,10348603,10793768,10797118,11641562,10810097,9998780,11065191,10810420,9920558,10808398,11759692,9916005,11731398,,,,,,,,,,
19720,12160468,12001061,13821454,12429442,13059960,13999962,13415583,13608819,15071980,14497276,13495997,14843470,13659056,15007556,13578716,14830825,14703822,12331513,10841198,13008571,14428360,14384517,14120057,14071984,11155073,12061922,9959288,11141736,10732747,10116536,10834148,9432647,10565522,9885280,9622111,9963850,9254791,10088903,10144489,9233611,10151755,9666459,10485064,9739199,8475836,11638354,10850159,9238913,12277865,10869877,11454151,9970381,10875369,10975879,10091579,10890124,11556736,9954047,10175632,11489610,10960276,9561026,10930146,11444698,10793777,12457006,10051337,10092779,12465140,10956146,9250338,11713550,10987143,9982790,11122691,10801192,10973265,10649925,11382982,9338112,10886697,11038520,10888431,9984610,11031916,9899365,10708810,10911108,10790071,9814517,,,,,,,
19889,11655185,12229887,13863756,13877325,10590406,15364877,13140189,15717716,14270431,14339506,13762001,14595087,13881162,14453346,14295708,14332773,13845647,14131647,14374999,11905080,13089290,13460746,9332394,11413683,12105409,10920792,10634442,9497212,9183617,10237493,9252636,9697924,9534822,10957929,9925954,10308356,10070546,10623057,10905399,11361769,10008456,11432132,10708842,10946437,10779525,10003921,11636401,10733483,9848277,12255796,9130956,11987308,9973423,10139820,13330602,9291347,11949588,10856460,10057795,9833232,12203329,10103115,10025840,11424207,10741269,10057564,10802213,10772155,9357085,10855387,9948438,9988140,11598114,11671231,9939214,10558112,10668164,9332424,10085962,10292321,9311842,9983064,10975155,8736251,9985135,10984732,10859711,8692409,11813280,11966584,,,,,,,
20220,12339853,13200107,11860559,13156444,13401410,12739615,14481914,13647529,14507478,14644538,13984800,14453667,13690938,14392951,14143316,14796921,13863692,13679777,11823732,11548754,13473402,14587514,13679112,13379190,12710275,9940702,10267687,11211757,8700574,10734890,10116826,10653799,8734355,9588426,10631010,10766640,9818233,10927391,11351902,10646432,9249340,11371513,9167172,12172991,9864643,10187988,10981651,10495873,10774307,10909529,9746388,10060358,9291157,10869343,9276838,9933153,10920479,9942399,10053583,8684695,11579523,9293949,10191604,11292840,9381557,9437163,10054310,10362011,10784680,9862623,10074821,11032324,10853499,9865524,11811339,9878580,10783552,10764753,11137831,10016797,10866888,9532019,10780727,9860010,9742530,10438381,9874134,9815617,9095525,10955387,9094713,,,,,,
20388,13291358,12214230,12851264,12687023,14627887,13729422,14496003,14389173,14420562,14672010,13850823,14914820,13910023,14677733,13165520,14318294,13851442,11298563,11145368,12022357,14961929,13381171,13433278,13457221,10925221,10905361,10594159,10477506,9521920,9441260,10027223,11069142,10236647,12762895,9800092,9383094,10152144,11388705,10022529,11435509,10958692,11334284,10100227,10419870,10117381,10963352,10876968,10956113,10842178,9858968,10507764,10215223,9990527,10685228,10017647,10676378,10841800,10749700,10252258,9859623,11760937,10115793,11643298,9901131,9131175,10815032,9698970,9904481,9140624,11406325,8569869,9706298,10847197,10590686,9063669,9883875,10258250,9112963,10583100,9394043,10522683,9058306,9894604,10860049,9781937,9884881,9051877,11567402,10052508,,,,,,,,
20552,13024832,12951964,12285982,13284549,12507108,12654734,13482168,14604183,14014723,14707909,14124104,14986545,14907192,14394896,14159617,13846103,12772377,11083059,10502205,14698731,14153691,13228734,13500888,13890226,11550528,11183415,12108038,9557598,10321161,10987690,11264978,11166907,10281405,10088436,10562137,9320316,11306528,11873227,9998516,12126613,9267619,9417088,11198207,10120256,9935283,9114036,10759703,10206518,9890732,11309960,9231305,10069240,9343391,11319109,10124861,9437337,10936896,9873230,11600697,11175784,10145043,12184095,9518374,10648189,9888119,10905555,11587357,11705491,9197031,10131147,10578947,9968510,9374184,10619865,10155773,9965946,9372059,11092875,10037646,9358341,10061642,10514105,11721960,9917608,10900580,10473315,10125167,,,,,,,,,,
20715,10972402,13309924,13155230,13988132,12831350,14216989,12983920,15649403,14648118,14787828,13788222,14408509,14648723,14494979,14231466,14170587,14544359,12188268,12001074,14157671,14078615,14180286,13505873,12685698,10519526,9942247,9997799,9147133,8952230,11664379,8945037,10570237,9260004,9236638,10247222,9758290,10473068,9966670,11057833,9386390,12305107,9070784,11129791,11604105,10182568,12462431,11115070,9376192,11773480,10831349,10904203,10051251,10938760,11166120,9943321,10026533,11652443,12166168,10349072,11806580,10272946,11152624,11635498,9447625,11055280,11174246,9314673,10876062,11137578,9955599,10852451,11789839,10953507,9244959,11399050,11290140,9248838,10947316,11827763,9954543,10954846,10589782,10900139,9338508,,,,,,,,,,,,,
20876,12554987,12460785,12589195,12563494,10971929,14638697,13644820,13796061,15022090,14142969,14677418,14641652,14099594,14431083,14963664,14261575,14219588,13251187,14177885,14450964,12510596,13106390,13688852,12917675,9668759,10067574,8893419,9118389,10000538,10464697,10248010,8876956,10076111,10565807,10880957,9795021,11184626,10978717,10387596,10630007,9251065,11353846,10106162,10779740,10807684,11020500,9313081,10200433,11250221,9351002,10064082,11706062,10285186,10822981,10609488,9147717,10715737,9972778,10875869,10850509,10877036,9221437,9219978,10656536,9982219,9229785,10322025,9869103,9153077,10860708,9221314,9918238,10251362,9977083,9881484,10747753,10495132,11007274,10288216,11337820,11071697,10161046,11173316,10910342,9284462,,,,,,,,,,,,
21040,12873370,11798711,12802890,13629418,12687388,14904395,14297501,14255141,15373304,14369077,14003981,14496952,14296684,15070809,14176420,14246536,13526037,10739734,13491324,14819110,12665135,12629526,13005374,11670128,11399404,11287853,9392685,10260938,11684636,10255796,11052699,8853123,11508711,10356485,9895890,10513535,11683738,9191986,10778420,10464235,11544850,10025110,11177350,9877165,11463871,9878121,10014855,10767964,11679857,9427260,10764711,9894646,10773178,10780485,10809718,11610450,9182438,11687790,10916058,10166657,11794804,10876414,10774870,11696513,10113146,10387025,10807686,9204359,11002289,9902889,11802023,12332908,9915481,10048415,11017432,10050815,10817265,10908019,9828972,11700698,9211984,11779700,9194879,10807838,11771030,10039828,9905627,,,,,,,,,,
