pid,averageWattConsumption,maxWattConsumtion,maxWattPositionIndex,totalProcessIstantFound,totalTime,joules
23253,12.871503,14.477246,1,3,0.24551653861999512,3.160166863396883
23628,13.305778,14.734621,2,3,0.24748873710632324,3.2930301934370996
23786,13.434627666666666,14.297535,2,3,0.24784302711486816,3.3296787890678243
23959,12.578305333333335,13.615922,1,3,0.23935794830322266,3.0107173577181503
24132,12.698701333333334,14.748969,1,3,0.24922990798950195,3.1648961648928324
24294,12.688038666666666,13.155485,0,3,0.25290870666503906,3.208915449302673
24443,12.741497666666666,14.991907,1,3,0.24989700317382812,3.1840620828463235
24605,13.639538666666667,14.740938,2,3,0.25448083877563477,3.471001240406036
24762,13.099092666666666,14.912924,1,3,0.2438216209411621,3.193842006845156
24925,13.4350835,13.884959,1,2,0.1271059513092041,1.7076790691860912
25088,12.1514125,12.967063,0,2,0.12153840065002441,1.4768632408887148
25240,12.148127666666666,13.437122,1,3,0.25007200241088867,3.03790661114645
25400,12.886836,12.898654,1,2,0.12759733200073242,1.6443258915309906
25554,13.284758,13.637886,1,2,0.11917638778686523,1.5832294710626602
25718,12.450552,14.576619,1,3,0.25214695930480957,3.1393688284664156
25872,13.299721,13.299721,0,1,0,0
26043,12.990799,14.531513,1,2,0.12065911293029785,1.5674582835958004
26200,11.69955,13.275694,1,2,0.12485432624816895,1.460739432656765
26367,12.171187,13.184491,1,3,0.24944543838500977,3.036047076880932
26522,12.577590333333333,14.19738,1,3,0.25457143783569336,3.2018952556649842
