0/pid,0/consumption,1/pid,1/consumption,2/pid,2/consumption,3/pid,3/consumption,4/pid,4/consumption,5/pid,5/consumption,6/pid,6/consumption,7/pid,7/consumption,8/pid,8/consumption,9/pid,9/consumption,10/pid,10/consumption,11/pid,11/consumption,12/pid,12/consumption,13/pid,13/consumption,14/pid,14/consumption,15/pid,15/consumption,16/pid,16/consumption,17/pid,17/consumption,18/pid,18/consumption,19/pid,19/consumption,20/pid,20/consumption,21/pid,21/consumption,22/pid,22/consumption,23/pid,23/consumption,24/pid,24/consumption,25/pid,25/consumption,26/pid,26/consumption,27/pid,27/consumption,28/pid,28/consumption,29/pid,29/consumption,30/pid,30/consumption,31/pid,31/consumption,32/pid,32/consumption,33/pid,33/consumption,34/pid,34/consumption,35/pid,35/consumption,36/pid,36/consumption,37/pid,37/consumption,38/pid,38/consumption,39/pid,39/consumption,40/pid,40/consumption,41/pid,41/consumption,42/pid,42/consumption,43/pid,43/consumption,44/pid,44/consumption,45/pid,45/consumption,46/pid,46/consumption,47/pid,47/consumption,48/pid,48/consumption,49/pid,49/consumption,50/pid,50/consumption,51/pid,51/consumption,52/pid,52/consumption,53/pid,53/consumption,54/pid,54/consumption,55/pid,55/consumption,56/pid,56/consumption,57/pid,57/consumption,58/pid,58/consumption,59/pid,59/consumption,60/pid,60/consumption,61/pid,61/consumption,62/pid,62/consumption,63/pid,63/consumption,64/pid,64/consumption,65/pid,65/consumption,66/pid,66/consumption,67/pid,67/consumption,68/pid,68/consumption,69/pid,69/consumption,70/pid,70/consumption,71/pid,71/consumption,72/pid,72/consumption,73/pid,73/consumption,74/pid,74/consumption,75/pid,75/consumption,76/pid,76/consumption,77/pid,77/consumption,78/pid,78/consumption,79/pid,79/consumption,80/pid,80/consumption,81/pid,81/consumption,82/pid,82/consumption,83/pid,83/consumption,84/pid,84/consumption,85/pid,85/consumption,86/pid,86/consumption,87/pid,87/consumption,88/pid,88/consumption,89/pid,89/consumption,90/pid,90/consumption,91/pid,91/consumption,92/pid,92/consumption,93/pid,93/consumption
27684,10319969,27684,11495106,27684,13478567,27684,14730599,27684,14219456,27684,13668685,27684,14729578,27684,14512983,27684,14233478,27684,14643125,27684,14138824,27684,14685383,27684,13703667,27684,14275454,27684,14470374,27684,14560117,27684,14149825,27684,15017853,27684,14517298,27684,14839065,27684,14040856,27684,15733511,27684,11875602,27684,12537341,27684,9927432,27684,11387161,27684,12111262,27684,11089995,27684,10716185,27684,11637964,27684,10299268,27684,11648629,27684,11888366,27684,10698385,27684,11687858,27684,9490908,27684,11948647,27684,11899015,27684,11344837,27684,10332557,27684,12302749,27684,11283374,27684,11380217,27684,12540871,27684,10404196,27684,12046286,27684,9962298,27684,12975159,27684,10394849,27684,11324340,27684,11351233,27684,11305087,27684,11103426,27684,10536179,27684,11330022,27684,10495485,27684,12949181,27684,11284548,27684,12126319,27684,9748155,27684,11518077,27684,11702266,27684,11247475,27684,11922068,27684,11731383,27684,11206372,27684,12891667,27684,10270563,27684,11377252,27684,11294411,27684,10644206,27684,12049195,27684,10382182,27684,11475717,27684,11125863,27684,11457393,27684,12136134,27684,10257792,27684,11474358,27684,11097830,27684,12030724,27684,11190308,27684,10340852,27684,12050869,27684,10346366,27684,11929036,27684,11249549,27684,9802912,,,,,,,,,,,,
27847,11259795,27847,13189439,27847,15024137,27847,13807310,27847,13977485,27847,14315126,27847,14034077,27847,14480995,27847,14682420,27847,14244752,27847,13619092,27847,14359461,27847,14060023,27847,14182928,27847,14668288,27847,14524652,27847,14303206,27847,14733367,27847,14319241,27847,14853395,27847,13427057,27847,14711791,27847,13970106,27847,11770278,27847,11579067,27847,10063832,27847,11395038,27847,10666234,27847,11168883,27847,11544042,27847,10799250,27847,10886920,27847,11001751,27847,10414451,27847,11669106,27847,11417525,27847,10140530,27847,12518012,27847,11702936,27847,10609181,27847,11096487,27847,11242654,27847,10813712,27847,9009835,27847,10978869,27847,11206900,27847,11127948,27847,11193795,27847,10316829,27847,10679621,27847,10302086,27847,11063292,27847,10301065,27847,11603826,27847,9713918,27847,10335787,27847,11283781,27847,10414698,27847,10761769,27847,10317835,27847,9633706,27847,11191983,27847,10522597,27847,10811251,27847,10530585,27847,10335350,27847,11642654,27847,9630792,27847,9994923,27847,11546175,27847,10408790,27847,11352030,27847,10415739,27847,10593255,27847,12164802,27847,9708763,27847,13044818,27847,10596173,27847,9915240,27847,11993765,27847,11149131,27847,11477544,27847,11244382,27847,10738031,27847,11712995,27847,10378167,27847,12049048,27847,11427746,27847,10492196,,,,,,,,,,
28006,10481364,28006,12454001,28006,15043401,28006,13575148,28006,14413069,28006,14501814,28006,13936765,28006,14466131,28006,14627144,28006,14318139,28006,14205388,28006,14108736,28006,14111817,28006,14239409,28006,14312700,28006,15226292,28006,14674622,28006,14602501,28006,14431909,28006,14981857,28006,10056142,28006,11483083,28006,11025949,28006,11763525,28006,10975755,28006,11891814,28006,9988066,28006,11279190,28006,10872872,28006,10605391,28006,10108482,28006,11293403,28006,11776314,28006,10397254,28006,10337777,28006,11533926,28006,9332271,28006,12609346,28006,11279420,28006,11124940,28006,11245924,28006,10353553,28006,11911095,28006,10103694,28006,11268340,28006,11763040,28006,10336304,28006,11978177,28006,10338711,28006,11400354,28006,10353340,28006,11884982,28006,11262943,28006,11991630,28006,10481046,28006,11296042,28006,12120631,28006,10602265,28006,12334480,28006,10467196,28006,11990885,28006,10986326,28006,9664052,28006,10600479,28006,11010503,28006,10174513,28006,11800582,28006,10575868,28006,11644579,28006,10356586,28006,12920062,28006,10679991,28006,10490846,28006,12325292,28006,11446790,28006,11660442,28006,11538895,28006,10494463,28006,12390730,28006,11376928,28006,12479821,28006,9770633,28006,12393889,,,,,,,,,,,,,,,,,,,,,,
28162,12157967,28162,13758024,28162,15275333,28162,14119465,28162,14253169,28162,14055826,28162,14701248,28162,14331919,28162,14776380,28162,13799839,28162,13857334,28162,15388104,28162,14060436,28162,14006401,28162,14658366,28162,14108628,28162,14947023,28162,13791963,28162,15154791,28162,14858967,28162,14560629,28162,14925309,28162,14286800,28162,14059469,28162,11116360,28162,11367420,28162,11448511,28162,10636779,28162,11574734,28162,11633471,28162,11943926,28162,11469351,28162,10383325,28162,12589675,28162,11041568,28162,10100948,28162,12263338,28162,9166827,28162,11833663,28162,11395825,28162,10980776,28162,11477771,28162,12497831,28162,10246820,28162,10147612,28162,10404999,28162,12002137,28162,11338570,28162,12061850,28162,10551722,28162,12887366,28162,10658350,28162,11976658,28162,9382879,28162,11378998,28162,12119188,28162,10428301,28162,12190470,28162,11398997,28162,11471685,28162,10444083,28162,12870697,28162,10308151,28162,9787399,28162,11994519,28162,12459452,28162,11784089,28162,11305819,28162,10434715,28162,11598278,28162,11623706,28162,12174578,28162,11166903,28162,10422205,28162,11465221,28162,12321717,28162,10758170,28162,10255008,28162,11296104,28162,12259990,28162,10432207,28162,11365948,28162,11335183,28162,10627226,28162,12106548,28162,11344350,28162,10567425,28162,12235887,28162,11389890,28162,10811017,28162,12456465,28162,9689160,28162,12231725,28162,11473019
28315,11114971,28315,12663869,28315,15055124,28315,13728438,28315,14345450,28315,13422614,28315,14510189,28315,14453311,28315,14520090,28315,14341764,28315,14659444,28315,14605118,28315,14234536,28315,14438783,28315,14448493,28315,13696639,28315,15150275,28315,14434182,28315,14101618,28315,14282974,28315,12078745,28315,10826177,28315,10720662,28315,10262793,28315,10530078,28315,12191695,28315,12291191,28315,10778229,28315,9582815,28315,10226465,28315,10716797,28315,10796848,28315,11425976,28315,7911905,28315,11424857,28315,10322742,28315,10221858,28315,10245108,28315,10986534,28315,9547141,28315,10108615,28315,10240907,28315,10916707,28315,10337637,28315,10425232,28315,11136591,28315,10423485,28315,9525518,28315,10507740,28315,10245673,28315,10435040,28315,10598702,28315,11368064,28315,12714155,28315,10536523,28315,12056999,28315,11205220,28315,10656579,28315,12143336,28315,10310865,28315,10734100,28315,11362732,28315,11452770,28315,11344839,28315,11197239,28315,10378914,28315,11756712,28315,11460314,28315,12211117,28315,11368126,28315,11279109,28315,11767901,28315,11655435,28315,10491460,28315,11876621,28315,11366459,28315,10537357,28315,11607322,28315,10572489,28315,11402303,28315,10322560,28315,10029243,28315,10581563,28315,12439387,28315,11357949,28315,10560473,28315,10838318,28315,10485777,28315,11467216,28315,11726719,,,,,,,,
28480,10820256,28480,14303940,28480,14654211,28480,13614971,28480,13687047,28480,14137160,28480,13990642,28480,14686813,28480,14844129,28480,14212689,28480,14297946,28480,14421746,28480,14704793,28480,13719516,28480,14718108,28480,14483999,28480,15400414,28480,14823655,28480,14160256,28480,11138708,28480,12420604,28480,10790532,28480,11340004,28480,11476925,28480,11971433,28480,10850727,28480,10633461,28480,11489880,28480,9696474,28480,10736002,28480,11547145,28480,10389707,28480,10986380,28480,11612066,28480,10016415,28480,11730504,28480,9633785,28480,11843928,28480,12256927,28480,11235890,28480,10282575,28480,11239774,28480,11917491,28480,11310520,28480,10681765,28480,11133666,28480,11462792,28480,12257995,28480,11361290,28480,11252615,28480,10828588,28480,11067559,28480,11226237,28480,11364058,28480,11243651,28480,11436594,28480,11163102,28480,10628312,28480,11476149,28480,10187053,28480,10461865,28480,9596100,28480,10569737,28480,11837764,28480,8982352,28480,10346639,28480,11697962,28480,10471934,28480,12148167,28480,10554189,28480,10525970,28480,11826590,28480,11449727,28480,11626365,28480,10476956,28480,11308975,28480,11686386,28480,10197490,28480,10689698,28480,10390201,28480,9565618,28480,10593722,28480,10369900,28480,11168141,28480,11273804,,,,,,,,,,,,,,,,,,
28636,10990781,28636,11573046,28636,15502728,28636,13009015,28636,15192651,28636,13661192,28636,14464764,28636,14719563,28636,14179211,28636,14492465,28636,14852539,28636,14014204,28636,14180613,28636,14439749,28636,15223320,28636,14336191,28636,14616774,28636,14902010,28636,12700747,28636,10302051,28636,10357248,28636,11198568,28636,8325155,28636,10752675,28636,12493825,28636,10411097,28636,11139261,28636,11154151,28636,10322860,28636,10588464,28636,11494641,28636,10561179,28636,11347847,28636,12698685,28636,10324939,28636,10948352,28636,10783197,28636,10380772,28636,10597561,28636,12221366,28636,11489342,28636,10365516,28636,11368380,28636,11011064,28636,12227149,28636,11591187,28636,10349546,28636,11936782,28636,10630694,28636,10474591,28636,12995696,28636,11278536,28636,9675460,28636,12179009,28636,11259065,28636,12341172,28636,11293453,28636,10589409,28636,12203332,28636,11193547,28636,10543123,28636,11845727,28636,10312044,28636,12289069,28636,10339429,28636,11381807,28636,11515555,28636,12330900,28636,10993698,28636,11286319,28636,12326193,28636,11572909,28636,10421116,28636,12217560,28636,12322315,28636,10336131,28636,11665689,28636,11196215,28636,11239924,28636,10986295,28636,11183498,28636,12262492,28636,10562004,,,,,,,,,,,,,,,,,,,,,,
28799,12292647,28799,13443820,28799,15019185,28799,13502982,28799,14714725,28799,14277609,28799,14229873,28799,14280070,28799,14262853,28799,14744136,28799,14441581,28799,14098508,28799,14320667,28799,14248484,28799,13925629,28799,14709402,28799,14346183,28799,14867179,28799,14708260,28799,12549028,28799,11308733,28799,13812675,28799,11730662,28799,10333632,28799,11746273,28799,12224252,28799,12684643,28799,10855937,28799,10799940,28799,9892699,28799,12506185,28799,11104075,28799,10111146,28799,11740282,28799,11702167,28799,8997985,28799,11962970,28799,12520570,28799,10304645,28799,11893300,28799,10535654,28799,11989768,28799,11249253,28799,10655864,28799,11198507,28799,10312816,28799,12821376,28799,9578595,28799,12231998,28799,11175704,28799,11920800,28799,9652524,28799,11200048,28799,12535845,28799,9583163,28799,12215298,28799,11159388,28799,9672686,28799,12038476,28799,10601420,28799,11592596,28799,12308564,28799,12005301,28799,10459070,28799,10414345,28799,11461406,28799,10339602,28799,12974890,28799,9920070,28799,11289661,28799,11254647,28799,12056487,28799,11267284,28799,11479631,28799,10534781,28799,11195325,28799,11514062,28799,10449060,28799,11473777,28799,11341077,28799,11179789,28799,12297397,28799,10316458,28799,11355155,28799,12971164,28799,10530612,,,,,,,,,,,,,,,,
28962,10886435,28962,13726174,28962,14995079,28962,14411778,28962,14116094,28962,14389777,28962,13366817,28962,14824630,28962,14402453,28962,14603010,28962,14582040,28962,14405457,28962,14980948,28962,13963575,28962,14133029,28962,14643368,28962,14793466,28962,14423445,28962,14161762,28962,14316472,28962,15185140,28962,15087224,28962,13466091,28962,10685236,28962,10970019,28962,10022676,28962,10503752,28962,13383811,28962,10833970,28962,11720406,28962,11160732,28962,10892900,28962,11521217,28962,11160218,28962,10136840,28962,10912571,28962,12461554,28962,10414084,28962,11335696,28962,10376762,28962,11226880,28962,12645363,28962,9641506,28962,11881423,28962,11153240,28962,12050004,28962,10298160,28962,11923078,28962,10402356,28962,11186095,28962,11197741,28962,10518221,28962,11969231,28962,10515662,28962,10774942,28962,11141180,28962,12053135,28962,11105903,28962,10389673,28962,11253173,28962,10645860,28962,10892670,28962,13402635,28962,10334292,28962,11937032,28962,10434787,28962,11966823,28962,11163122,28962,10441922,28962,12140571,28962,10303645,28962,12852480,28962,9578164,28962,10522441,28962,11517132,28962,11253447,28962,12211833,28962,9376965,28962,10407049,28962,11443418,28962,11341770,28962,12105258,28962,9659937,28962,11321306,28962,11448905,28962,11282030,28962,12170405,,,,,,,,,,,,,,
29123,11671309,29123,13113663,29123,14918540,29123,13826400,29123,14651277,29123,14310137,29123,14059553,29123,14690500,29123,14471087,29123,14836549,29123,13494382,29123,15286027,29123,14913384,29123,14341195,29123,13738069,29123,14806573,29123,11634840,29123,13099629,29123,10753797,29123,10632042,29123,11194655,29123,11687092,29123,12057777,29123,12083298,29123,10789524,29123,10244737,29123,10071975,29123,11538839,29123,11188206,29123,11383514,29123,10504260,29123,11050750,29123,10289348,29123,11733933,29123,10389445,29123,11868739,29123,11337071,29123,11160365,29123,11219611,29123,10322307,29123,11291871,29123,12013027,29123,11365977,29123,13797452,29123,10566137,29123,10703216,29123,11461077,29123,12990670,29123,10270888,29123,9651755,29123,12744319,29123,10389942,29123,12884641,29123,10396783,29123,12037790,29123,11330339,29123,12914854,29123,10430271,29123,11258703,29123,12742881,29123,11283506,29123,11569913,29123,10621219,29123,10503515,29123,12250688,29123,10529942,29123,13083590,29123,10524823,29123,11450326,29123,10532881,29123,12322831,29123,11336220,29123,10546782,29123,12210768,29123,10413483,29123,11366936,29123,12208035,29123,10520140,29123,12220289,29123,10396167,29123,11249419,29123,12248882,,,,,,,,,,,,,,,,,,,,,,,,
