pid,averageWattConsumption,maxWattConsumtion,maxWattPositionIndex,totalProcessIstantFound,totalTime,joules
27684,11.996954306818182,15.733511,21,88,10.214856386184692,122.54716531576766
27847,11.736657494382023,15.024137,2,89,10.552879333496094,123.85553031678609
28006,11.864024445783132,15.226292,15,83,9.67273736000061,114.75759249668704
28162,12.066584521276596,15.388104,11,94,10.911201238632202,131.66093197461336
28315,11.631362333333334,15.150275,16,90,10.66582703590393,124.05809883926129
28480,11.72726854117647,15.400414,16,85,10.075427532196045,118.15724433722595
28636,11.843836132530122,15.502728,2,83,9.747833728790283,115.45174533094219
28799,11.947988209302325,15.019185,2,86,10.027515649795532,119.80863875235157
28962,11.975167505747127,15.18514,20,87,10.223171949386597,122.42419653395989
29123,11.902406670731706,15.286027,11,82,9.461580991744995,112.61558471181394
29283,11.77642461728395,14.99513,12,81,9.471471309661865,111.54006789300065
29443,11.919944825581396,15.931625,15,86,9.974795818328857,118.89901580092001
29618,11.868908586206896,14.968152,17,87,10.259155511856079,121.76497894190042
29773,11.860670722891566,16.525783,2,83,9.68756890296936,114.90106486344345
29933,11.792151965517242,15.23782,8,87,10.423736095428467,122.91828008573981
30100,11.540328714285714,15.728595,2,84,10.285846710205078,118.7020521405209
30270,11.766855261363636,15.371957,19,88,10.528623580932617,123.88878977821422
30421,11.744207416666667,15.450933,15,84,9.994021654129028,117.3718632327494
30568,11.886978093023256,15.308717,2,86,10.173754930496216,120.93520198259586
30734,11.899086800000001,15.717533,19,85,10.11372709274292,120.34411654805966
