pid,averageWattConsumption,maxWattConsumtion,maxWattPositionIndex,totalProcessIstantFound,totalTime,joules
34784,13.859921055555557,15.119358,5,18,2.110995292663574,29.258228104966538
34957,14.115015166666666,15.464919,14,18,2.116626739501953,29.876218530242284
35121,14.002899277777779,15.596217,5,18,2.118854522705078,29.670106465703117
35291,14.196956944444445,15.502643,6,18,2.157264471054077,30.626590813334452
35460,13.8781695625,15.463145,5,16,1.8816635608673096,26.114045957294064
35621,13.927729,15.288754,6,17,2.050658941268921,28.561022005420444
35772,13.81948,15.684107,6,17,2.0307998657226562,28.064598128356934
35938,13.579293647058824,15.137113,8,17,2.0388073921203613,27.685564267396593
36104,13.79544605263158,15.059786,16,19,2.296825408935547,31.685731021283804
36259,14.2945812,15.35171,6,20,2.449754238128662,35.018210876974294
36413,13.76821482352941,15.953403,11,17,2.0304901599884033,27.956224719782938
36580,14.288346555555556,15.332084,4,18,2.1813125610351562,31.167349818056742
36738,13.98835017647059,15.189382,15,17,2.043111562728882,28.579759989047655
37039,13.97667195,15.635494,16,20,2.4072697162628174,33.64561911937498
37206,13.78194575,15.513845,11,16,1.915325403213501,26.396910800685347
37368,13.835866,15.392902,5,17,2.060117483139038,28.50350944096899
37523,14.07889476470588,15.351429,5,17,2.0445973873138428,28.785671452184182
37676,13.821640125,15.275264,5,16,1.8867137432098389,26.077478377538057
37832,13.741755111111113,15.243478,14,18,2.1784870624542236,29.936235724969762
37996,13.932911,15.398566,6,17,2.0543980598449707,28.62374532639265
