pid,averageWattConsumption,maxWattConsumtion,maxWattPositionIndex,totalProcessIstantFound,totalTime,joules
53794,14.085104333333334,14.246467,1,3,0.25262022018432617,3.5581821580058732
53943,13.61869125,15.065645,3,4,0.3638288974761963,4.954873422556221
54115,13.559030199999999,15.596232,4,5,0.4853365421295166,6.580692831897688
54263,14.170141,15.199833,2,3,0.2566671371459961,3.637009523425102
54424,13.81136325,15.210629,3,4,0.3791379928588867,5.23641254124999
54590,14.24350425,15.005357,2,4,0.3689727783203125,5.25546533613968
54753,13.881126666666667,15.617526,1,3,0.24608111381530762,3.415883111144702
54903,14.286688,15.89121,1,2,0.1290738582611084,1.8440379419326782
55050,13.6626928,14.140133,1,5,0.4775886535644531,6.525147058416748
55198,14.053426,14.699548,2,3,0.25463199615478516,3.5784519151935577
55349,14.403804,14.735525,1,3,0.2506260871887207,3.609969037153244
55503,14.472635666666665,16.100216,2,3,0.24495244026184082,3.545107423570553
55656,14.06494825,15.151115,3,4,0.37509918212890625,5.275750585260392
55818,14.32904725,14.988017,3,4,0.37261343002319336,5.339195444786906
55951,13.29874175,15.906662,2,4,0.36752820014953613,4.8876626196309925
56111,14.054668666666666,14.370992,1,3,0.2456529140472412,3.4525703139351207
56274,13.689681,14.700004,2,3,0.25061964988708496,3.430903059285879
56429,14.596657,16.083927,2,4,0.37543249130249023,5.480059302197933
56582,13.971757,15.966702,1,3,0.25125813484191895,3.5105176042845248
56743,13.87252025,15.36969,1,4,0.3752250671386719,5.2053173421888355
