pid,consumption/0,consumption/1,consumption/2,consumption/3,consumption/4,consumption/5,consumption/6,consumption/7,consumption/8,consumption/9,consumption/10,consumption/11,consumption/12,consumption/13,consumption/14,consumption/15,consumption/16,consumption/17,consumption/18,consumption/19,consumption/20,consumption/21,consumption/22,consumption/23,consumption/24,consumption/25,consumption/26,consumption/27,consumption/28,consumption/29,consumption/30,consumption/31,consumption/32,consumption/33,consumption/34,consumption/35
57369,11269090,7791822,11871340,8424959,7459633,8053329,9589080,9580587,11983844,10237343,10993896,9810860,17342282,11436138,11043623,10494791,14241130,9599496,12437798,12766211,12034835,7875128,10163226,7746213,10805737,10004435,16245057,,,,,,,,,
57520,4174388,5168310,12118499,10996892,8440356,8530356,7348604,9247822,9879848,10953415,10646625,12563023,8136849,17375940,9721726,14450608,12091074,10525723,12162345,8462746,12865965,10232402,13039810,13852241,11585807,12982532,12273682,11429620,,,,,,,,
57675,9426220,6653503,9997328,8482697,9674165,8278365,8506036,11344103,10220831,13380348,9598250,8452064,16868502,14484363,11272645,13761031,16960012,7413399,11626350,16672052,9920092,6435175,20815096,8003272,12592260,9621242,12488625,13164953,10012642,14232149,11047774,9250418,7380200,,,
57840,7648033,12698889,7630749,11342078,8320654,8465428,10722952,8868976,10339213,11516529,16365374,11104213,9422816,13657862,14090474,13121709,8401611,12683356,16671956,11250256,9852926,10966206,13908805,12341409,10361440,13412262,11411455,14199228,,,,,,,,
57991,11355940,8355843,10735471,9870698,8104201,10098420,11048369,11996628,12407196,13297681,11087166,11723239,13838220,12223775,10769785,10368646,12638859,10157024,9639890,15169669,12724054,11050224,14120209,11894945,13578526,13269361,,,,,,,,,,
58153,6749363,8631944,12079164,7011064,10025490,7897374,9659342,9987147,12652488,9877334,10413749,12865217,13669344,12265291,6167793,14163884,9383203,14714941,10685667,12863793,12783766,13997014,12770095,,,,,,,,,,,,,
58322,11193671,6726577,10648260,9725802,5443607,11537859,8375614,9928546,9888366,12717607,11038438,11900474,12547348,13342794,13105721,8671280,11727247,10340303,11128748,12692971,10989976,13928218,13897197,11673089,,,,,,,,,,,,
58474,3241768,9623601,10203680,6155726,8295851,8208438,7205676,15108970,11091379,9975563,8523730,12975568,13457976,11388935,11816444,11621758,12287011,10750303,12088209,10227280,10751634,11278771,12210367,12300535,10269794,10452417,12853567,11333271,14777474,8134093,13701951,12271168,8585569,11822099,14769594,12069080
58630,6672344,15239668,8285248,8037402,7366097,8359329,9469237,10878800,11206672,11687107,9521134,12989175,10468945,11798072,11004817,12361254,9505816,12498824,11173164,10931934,10306018,15793807,9336212,13287596,10496962,11106945,12891011,,,,,,,,,
58785,12581776,10203800,8570253,8350484,8787517,9408600,8429489,12378827,8278218,12797589,11088426,8251994,12129361,12904339,12867369,8260018,11189318,12329942,11440939,10025022,13239298,13628868,9543855,11009770,9985169,11134877,13312575,13397826,11055488,12640525,11231037,12512709,10213339,14204416,,
58947,7409275,11016522,8463917,8457190,9211470,8232806,9097369,8994867,12330449,10983289,9693971,17079782,11403238,11702491,12611478,12898797,9406369,12588990,10663774,11594061,17170684,12075412,10237786,12873335,10521610,9150559,,,,,,,,,,
59105,12753672,6494227,11508147,8242151,8796353,9473284,9139413,11211009,12698403,10411985,11191967,13593537,11938761,12085531,10800512,9717155,12626979,13348270,10691968,13550955,11094441,10410630,10774085,13388949,15692183,13078528,10240856,9909512,11402667,14111562,,,,,,
59251,6943912,10221417,10575879,7330593,9737759,7022649,8189326,9810050,14523562,9865200,11442921,9983778,11654122,14854081,10791483,13382201,10670299,8658629,16624137,10851357,10119013,13682120,8306944,9896019,9862307,14565231,11394425,13072672,12609676,9497011,13180881,10887009,,,,
59414,6053320,11901996,10667064,12035096,9210684,9259598,10763271,11556287,9443053,10391648,13150079,15347162,11682437,12682323,9459069,16971636,8511555,12322396,11614944,11110786,15756659,14128470,8000086,,,,,,,,,,,,,
59561,7726181,9465121,8579205,9405100,8611377,7169104,10262503,8017410,12586976,10957441,12759520,10973792,13347610,13819580,10138054,13154604,9842613,13762071,9907458,11333909,10933157,13803809,6809276,11991884,12966858,11848108,15812142,11637104,14611853,11799252,,,,,,
59715,9373055,8201909,10070536,11641472,8146337,11655574,9147485,12194522,13040566,10191196,12494788,9517045,16792688,8336214,9592687,11703738,14586130,11200573,7249177,17097716,11391253,16195807,9717126,13677039,9598912,15304087,11658906,10581756,15692860,11422240,11465201,11606247,,,,
59872,6802041,9393191,12935859,9467238,13584669,7733050,11122588,13102975,12469591,12196990,9948202,13046770,13099370,9436324,12587565,12748178,11783483,12206416,10925907,13593961,12746866,13407334,12663075,13884062,,,,,,,,,,,,
60039,7470191,10778498,9446768,12492961,10337103,9269606,9438306,13325520,9906911,11372542,16408396,15388598,10712685,13612850,13656355,8294317,14573933,10755350,9737280,12695388,13039974,13041546,13739213,13147057,,,,,,,,,,,,
60200,5510770,16218530,8123240,13284884,8986024,9776894,9951027,11970776,9532355,9877966,16883612,11310408,12957193,13731983,11066734,11123391,12387284,11297152,11350153,9870850,11270478,10446372,15270879,11048776,12095493,12275442,11420762,11423959,13771144,9922444,11006622,13259688,11129527,,,
60361,13015816,7988503,9955025,7223081,8372118,8481195,8126015,11125596,9357960,12872351,10542967,10730375,9458625,11689199,13492128,11976582,8210760,13973904,11111922,12955163,12411495,9187131,14339343,10660386,15442014,,,,,,,,,,,
