pid,consumption/0,consumption/1,consumption/2,consumption/3,consumption/4
53794,14058512,14246467,13950334,,
53943,11046091,14583129,13779900,15065645,
54115,12231897,12886412,13809410,13271200,15596232
54263,12721685,14588905,15199833,,
54424,12773000,12293686,14968138,15210629,
54590,12719372,14591955,15005357,14657333,
54753,12571461,15617526,13454393,,
54903,12682166,15891210,,,
55050,13012496,14140133,13740899,14138225,13281711
55198,13467561,13993169,14699548,,
55349,14054312,14735525,14421575,,
55503,13221754,14095937,16100216,,
55656,12513045,15104130,13491503,15151115,
55818,14503455,14918699,12906018,14988017,
55951,8825813,13946704,15906662,14515788,
56111,14066182,14370992,13726832,,
56274,12015774,14353265,14700004,,
56429,12924321,14466438,16083927,14911942,
56582,12045285,15966702,13903284,,
56743,12451649,15369690,13560252,14108490,
